>  Running time: 2022-04-27_17:52:25
>  A(9.99 39.94) B(14.55 39.93) 0
13.0635235156 39.9528917863 262 -3248.65265308
13.0752543938 39.9527854919 263 -3262.15810139
13.0869852353 39.9526780152 264 -3258.97457508
13.0987160398 39.9525693562 265 -3251.33708218
13.1104468068 39.9524595149 266 -3246.90382907
13.1221775359 39.9523484913 267 -3237.21519789
13.1339082268 39.9522362854 268 -3224.42245265
13.1456388789 39.9521228973 269 -3220.64900812
13.157369492 39.9520083269 270 -3221.64078448
13.1691000655 39.9518925742 271 -3225.95790146
13.1808305992 39.9517756394 272 -3226.91592223
13.1925610925 39.9516575222 273 -3222.99954861
13.2042915451 39.9515382229 274 -3218.56338137
13.2160219566 39.9514177413 275 -3196.01874919
13.2277523266 39.9512960776 276 -3196.0119035
13.2394826546 39.9511732316 277 -3202.32273861
13.2512129403 39.9510492034 278 -3198.23659813
13.2629431833 39.9509239931 279 -3187.74147314
13.2746733831 39.9507976006 280 -3178.4923573
13.2864035394 39.950670026 281 -3163.80388021
13.2981336517 39.9505412692 282 -3142.58825521
13.3098637196 39.9504113302 283 -3112.04612142
13.3215937428 39.9502802091 284 -3090.51739051
13.3333237208 39.9501479059 285 -3076.51544476
13.3450536532 39.9500144206 286 -3018.85894298
13.3567835396 39.9498797532 287 -2933.68598633
13.3685133797 39.9497439037 288 -2823.75797906
13.3802431729 39.9496068722 289 -2721.30307393
13.391972919 39.9494686585 290 -2576.28926245
13.4037026174 39.9493292628 291 -2482.77932353
13.4154322679 39.9491886851 292 -2450.45858957
13.4271618699 39.9490469253 293 -2430.06138689
13.4388914231 39.9489039835 294 -2403.87846046
13.4506209271 39.9487598597 295 -2402.50686034
13.4623503815 39.9486145539 296 -2433.65850544
13.4740797858 39.9484680661 297 -2523.1367492
13.4858091397 39.9483203963 298 -2621.64984591
13.4975384427 39.9481715445 299 -2667.53181749
13.5092676946 39.9480215108 300 -2686.24576171
13.5209968947 39.9478702951 301 -2691.82234557
13.5327260428 39.9477178975 302 -2699.73354804
13.5444551384 39.947564318 303 -2713.45826307
13.5561841812 39.9474095566 304 -2729.06497369
13.5679131707 39.9472536132 305 -2720.68352227
13.5796421065 39.947096488 306 -2712.58947807
13.5913709883 39.9469381809 307 -2706.84699187
13.6030998155 39.9467786919 308 -2705.25386553
13.6148285879 39.9466180211 309 -2706.34792738
13.626557305 39.9464561685 310 -2704.72452566
13.6382859663 39.946293134 311 -2704.39021371
13.6500145716 39.9461289177 312 -2705.20439618
13.6617431204 39.9459635196 313 -2701.63925001
13.6734716122 39.9457969397 314 -2698.41762931
13.6852000467 39.945629178 315 -2705.72972976
13.6969284235 39.9454602346 316 -2711.3092167
13.7086567422 39.9452901094 317 -2720.97125952
13.7203850024 39.9451188025 318 -2728.02509251
13.7321132036 39.9449463139 319 -2716.54942941
13.7438413454 39.9447726435 320 -2695.52239272
13.7555694276 39.9445977915 321 -2638.06306189
13.7672974496 39.9444217577 322 -2630.27866951
13.779025411 39.9442445423 323 -2616.4277261
13.7907533114 39.9440661452 324 -2526.01904615
13.8024811506 39.9438865665 325 -2532.53962313
13.8142089279 39.9437058062 326 -2581.05315797
13.8259366431 39.9435238642 327 -2583.67778635
13.8376642957 39.9433407407 328 -2564.98600313
13.8493918853 39.9431564355 329 -2518.71120647
13.8611194115 39.9429709488 330 -2469.97587752
13.8728468739 39.9427842805 331 -2448.37983559
13.8845742722 39.9425964307 332 -2388.75014106
13.8963016058 39.9424073993 333 -2263.98074919
13.9080288745 39.9422171865 334 -2186.45186156
13.9197560777 39.9420257921 335 -2240.30133748
13.9314832152 39.9418332162 336 -2230.44960209
13.9432102864 39.9416394589 337 -2142.3681404
13.954937291 39.9414445201 338 -2221.50149846
13.9666642286 39.9412483998 339 -2305.94684958
13.9783910987 39.9410510981 340 -2312.68077665
13.990117901 39.940852615 341 -2240.05320486
14.0018446351 39.9406529506 342 -2194.87274497
14.0135713006 39.9404521047 343 -2177.47522969
14.025297897 39.9402500774 344 -2122.94550934
14.0370244239 39.9400468689 345 -2057.62102715
14.0487508811 39.9398424789 346 -2067.34697742
14.0604772679 39.9396369077 347 -2157.60703266
14.0722035841 39.9394301551 348 -2228.4374794
14.0839298292 39.9392222213 349 -2234.48571513
14.0956560029 39.9390131062 350 -2211.48793474
14.1073821047 39.9388028098 351 -2158.12406738
14.1191081342 39.9385913322 352 -2052.23344833
14.1308340911 39.9383786733 353 -1782.28132424
14.1425599749 39.9381648333 354 -1615.58000176
14.1542857851 39.937949812 355 -1517.01426815
14.1660115215 39.9377336096 356 -1554.358236
14.1777371836 39.937516226 357 -1574.70757796
14.189462771 39.9372976613 358 -1549.53874582
14.2011882834 39.9370779154 359 -1488.38169015
14.2129137202 39.9368569885 360 -1483.9203856
14.224639081 39.9366348804 361 -1489.86389476
14.2363643656 39.9364115913 362 -1441.76657825
14.2480895735 39.9361871211 363 -1319.11348729
14.2598147042 39.9359614698 364 -1233.99449432
14.2715397575 39.9357346376 365 -1178.24243304
14.2832647328 39.9355066243 366 -1167.65852714
14.2949896298 39.93527743 367 -1174.8513869
14.306714448 39.9350470548 368 -1178.49726967
14.3184391871 39.9348154986 369 -1244.16921251
14.3301638467 39.9345827615 370 -1281.60526186
14.3418884263 39.9343488434 371 -1302.73381397
14.3536129256 39.9341137445 372 -1425.26887823
14.3653373441 39.9338774647 373 -1498.93847883
14.3770616815 39.933640004 374 -1515.20984953
14.3887859373 39.9334013624 375 -1507.54581616
14.4005101111 39.9331615401 376 -1498.77867699
14.4122342026 39.9329205369 377 -1454.13554411
14.4239582114 39.9326783529 378 -1394.46480046
14.4356821369 39.9324349881 379 -1348.83254748
14.4474059789 39.9321904426 380 -1270.61972944
14.4591297369 39.9319447164 381 -1178.15652871
14.4708534106 39.9316978094 382 -1081.6549057
14.4825769994 39.9314497218 383 -990.915471512
14.4943005031 39.9312004534 384 -960.210702387
14.5060239212 39.9309500044 385 -954.015964206
14.5177472533 39.9306983748 386 -987.109756403
14.529470499 39.9304455645 387 -965.044703106
14.5411936579 39.9301915737 388 -888.042264189
14.55 39.93 388.751 -934.698761719
>  A(14.55 39.93) B(16.11 41.36) 388
14.55 39.93 388 -934.698761719
14.5573988026 39.9369779005 389 -923.889678051
14.5647991142 39.9439553307 390 -868.979171798
14.5722009352 39.9509322902 391 -775.752504716
14.5796042663 39.957908779 392 -636.516504279
14.5870091081 39.9648847967 393 -555.059789127
14.5944154611 39.9718603433 394 -494.93488914
14.601823326 39.9788354184 395 -499.171156096
14.6092327032 39.9858100218 396 -503.248210811
14.6166435934 39.9927841534 397 -592.569137631
14.6240559972 39.999757813 398 -674.249825272
14.6314699152 40.0067310002 399 -728.487563336
14.6388853478 40.0137037149 400 -797.179690619
14.6463022958 40.0206759569 401 -863.205208448
14.6537207596 40.027647726 402 -863.688092333
14.6611407399 40.034619022 403 -848.159158058
14.6685622373 40.0415898446 404 -763.096830656
14.6759852523 40.0485601936 405 -630.538728689
14.6834097855 40.0555300689 406 -477.585562649
14.6908358374 40.0624994702 407 -358.293063962
14.6982634088 40.0694683972 408 -366.53354575
14.7056925002 40.0764368499 409 -338.138294244
14.713123112 40.0834048278 410 -295.603878178
14.720555245 40.090372331 411 -268.248908419
14.7279888998 40.0973393591 412 -259.067691501
14.7354240768 40.1043059119 413 -257.251965526
14.7428607767 40.1112719892 414 -256.121263121
14.750299 40.1182375908 415 -202.228004378
14.7577387474 40.1252027164 416 -195.847260031
14.7651800194 40.1321673659 417 -221.713698285
14.7726228167 40.1391315391 418 -222.931142547
14.7800671397 40.1460952357 419 -205.219510369
14.7875129891 40.1530584555 420 -173.144464703
14.7949603655 40.1600211983 421 -138.426651492
14.8024092694 40.1669834639 422 -122.418472636
14.8098597015 40.1739452521 423 -119.361586327
14.8173116623 40.1809065626 424 -123.322258127
14.8247651524 40.1878673953 425 -121.060024976
14.8322201724 40.1948277499 426 -120.160936793
14.8396767229 40.2017876261 427 -119.109550468
14.8471348045 40.2087470239 428 -101.744172107
14.8545944177 40.2157059429 429 -83.297341572
14.8620555631 40.222664383 430 -72.9579768659
14.8695182414 40.229622344 431 -56.1475229337
14.8769824531 40.2365798255 432 -31.7935504819
14.8844481988 40.2435368275 433 -17.6651630846
14.8919154791 40.2504933497 434 -9.52640313744
14.8993842946 40.2574493918 435 -9.70435630428
14.9068546458 40.2644049537 436 -21.5491480709
14.9143265333 40.2713600351 437 -31.733017348
14.9217999579 40.2783146359 438 -39.9695888107
14.9292749199 40.2852687557 439 -31.3267724284
14.9367514201 40.2922223944 440 -19.4095080766
14.9442294589 40.2991755519 441 -3.55447746833
14.9517090371 40.3061282277 442 9.71723734885
14.9591901551 40.3130804218 443 136.372575491
14.9666728136 40.3200321339 444 234.446985857
14.9741570132 40.3269833639 445 66.181798064
14.9816427544 40.3339341113 446 37.952661009
14.9891300379 40.3408843762 447 22.3450828418
14.9966188642 40.3478341582 448 6.12064516199
15.0041092339 40.3547834571 449 23.8808609494
15.0116011476 40.3617322728 450 152.359971745
15.019094606 40.3686806049 451 223.847290535
15.0265896095 40.3756284533 452 72.1973839392
15.0340861588 40.3825758178 453 22.379992779
15.0415842545 40.3895226981 454 18.840642169
15.0490838971 40.396469094 455 26.38379811
15.0565850873 40.4034150053 456 100.963811285
15.0640878257 40.4103604318 457 139.225587155
15.0715921128 40.4173053732 458 324.686047931
15.0790979492 40.4242498294 459 394.497066567
15.0866053355 40.4311938001 460 816.761209155
15.0941142724 40.4381372851 461 778.035281855
15.1016247604 40.4450802841 462 500.827077338
15.1091368 40.4520227971 463 174.42006118
15.116650392 40.4589648237 464 72.0284303519
15.1241655368 40.4659063637 465 166.450661648
15.1316822352 40.4728474169 466 220.670738127
15.1392004876 40.4797879831 467 111.674911292
15.1467202946 40.486728062 468 125.815919274
15.154241657 40.4936676535 469 220.216141617
15.1617645752 40.5006067573 470 343.719920734
15.1692890498 40.5075453732 471 223.908904833
15.1768150815 40.514483501 472 109.371408557
15.1843426708 40.5214211404 473 56.0265416311
15.1918718184 40.5283582913 474 150.995071646
15.1994025247 40.5352949534 475 255.104119009
15.2069347905 40.5422311265 476 347.883409125
15.2144686164 40.5491668103 477 458.17565769
15.2220040028 40.5561020048 478 532.937626356
15.2295409504 40.5630367095 479 573.819344699
15.2370794599 40.5699709244 480 528.843346538
15.2446195317 40.5769046491 481 403.347147076
15.2521611666 40.5838378835 482 365.78029818
15.259704365 40.5907706274 483 319.260987197
15.2672491276 40.5977028805 484 127.6080821
15.2747954551 40.6046346425 485 233.639686123
15.2823433479 40.6115659134 486 168.424451554
15.2898928066 40.6184966928 487 203.825726499
15.297443832 40.6254269806 488 201.347764319
15.3049964245 40.6323567764 489 253.526406706
15.3125505848 40.6392860802 490 312.403320978
15.3201063135 40.6462148916 491 413.825337127
15.3276636112 40.6531432105 492 469.774675449
15.3352224784 40.6600710366 493 432.98389402
15.3427829157 40.6669983696 494 436.586010312
15.3503449239 40.6739252095 495 490.446221229
15.3579085034 40.6808515559 496 631.200226846
15.3654736549 40.6877774087 497 789.136489757
15.3730403789 40.6947027675 498 801.44057662
15.3806086761 40.7016276322 499 950.80805886
15.388178547 40.7085520026 500 1205.77495968
15.3957499923 40.7154758784 501 941.457598096
15.4033230126 40.7223992595 502 1039.26281208
15.4108976084 40.7293221455 503 1210.13774374
15.4184737804 40.7362445363 504 1251.73703308
15.4260515291 40.7431664316 505 1064.15427405
15.4336308552 40.7500878312 506 574.864194694
15.4412117593 40.757008735 507 660.299531889
15.4487942419 40.7639291426 508 728.996603524
