>  Running time: 2022-04-27_18:04:38
>  A(17.24 41.00) B(19.35 43.50) 0
19.4243859266 43.5004393806 333 581.64104868
19.4367836838 43.5005079225 334 700.909601661
19.4491814688 43.500575125 335 558.620122926
19.4615792811 43.5006409879 336 804.014172023
19.4739771202 43.5007055114 337 881.317764666
19.4863749855 43.5007686953 338 921.697018904
19.4987728765 43.5008305398 339 811.4784646
19.5111707926 43.5008910447 340 998.365114607
19.5235687333 43.5009502101 341 1178.45857007
19.5359666981 43.5010080359 342 1308.52837676
19.5483646862 43.5010645222 343 1140.29284986
19.5607626974 43.501119669 344 998.388988921
19.5731607309 43.5011734762 345 768.065430662
19.5855587862 43.5012259439 346 557.895946908
19.5979568628 43.5012770721 347 479.387984035
19.6103549601 43.5013268606 348 496.48233236
19.6227530776 43.5013753096 349 583.014831244
19.6351512147 43.5014224191 350 699.739361651
19.6475493709 43.5014681889 351 839.845996042
19.6599475456 43.5015126192 352 1039.26545429
19.6723457383 43.5015557099 353 1128.75906028
19.6847439484 43.5015974611 354 999.669128751
19.6971421753 43.5016378726 355 1025.86860916
19.7095404186 43.5016769445 356 1037.86316401
19.7219386777 43.5017146769 357 963.579920471
19.734336952 43.5017510696 358 1085.44714002
19.746735241 43.5017861227 359 1097.60997028
19.7591335441 43.5018198363 360 1034.83385741
19.7715318607 43.5018522102 361 967.635802242
19.7839301904 43.5018832445 362 888.547707284
19.7963285325 43.5019129392 363 929.441530142
19.8087268866 43.5019412943 364 977.760893172
19.8211252521 43.5019683097 365 905.677852401
19.8335236283 43.5019939856 366 1030.23132939
19.8459220149 43.5020183218 367 1041.03252189
19.8583204111 43.5020413184 368 904.976712446
19.8707188165 43.5020629753 369 942.465154619
19.8831172306 43.5020832926 370 1096.43927807
19.8955156527 43.5021022703 371 932.65991722
19.9079140823 43.5021199084 372 1045.66008703
19.920312519 43.5021362068 373 1099.52369249
19.932710962 43.5021511656 374 1118.72029409
19.9451094109 43.5021647847 375 1191.30916754
19.9575078651 43.5021770642 376 1199.69162168
19.9699063241 43.502188004 377 1196.5407663
19.9823047873 43.5021976043 378 1259.43498878
19.9947032541 43.5022058648 379 1361.25209099
20.0071017241 43.5022127857 380 1307.96988305
20.0195001967 43.502218367 381 1361.54688164
20.0318986712 43.5022226086 382 1274.13518872
20.0442971473 43.5022255106 383 1089.84202382
20.0566956242 43.502227073 384 977.406824184
20.0690941015 43.5022272957 385 949.209160981
20.0814925787 43.5022261787 386 844.687054015
20.0938910551 43.5022237221 387 897.906000688
20.1062895302 43.5022199259 388 1018.25240104
20.1186880035 43.50221479 389 1094.68016953
20.1310864744 43.5022083144 390 998.377170878
20.1434849424 43.5022004992 391 794.631878932
20.1558834068 43.5021913444 392 677.478451149
20.1682818673 43.5021808499 393 891.279394629
20.1806803231 43.5021690158 394 839.897291335
20.1930787739 43.5021558421 395 988.487452986
20.2054772189 43.5021413287 396 864.648821747
20.2178756577 43.5021254756 397 764.987566126
20.2302740897 43.502108283 398 700.948485732
20.2426725144 43.5020897507 399 720.747990822
20.2550709312 43.5020698787 400 892.117635819
20.2674693395 43.5020486671 401 925.599789052
20.2798677389 43.5020261159 402 1126.53305764
20.2922661287 43.5020022251 403 1286.85732821
20.3046645085 43.5019769946 404 1145.41187934
20.3170628776 43.5019504246 405 1027.88236321
20.3294612355 43.5019225149 406 906.893958493
20.3418595817 43.5018932655 407 846.157100836
20.3542579155 43.5018626766 408 835.074334243
20.3666562366 43.501830748 409 951.476624796
20.3790545443 43.5017974799 410 969.832944271
20.391452838 43.5017628721 411 949.518745634
20.4038511172 43.5017269247 412 830.047262695
20.4162493814 43.5016896378 413 736.46185542
20.42864763 43.5016510112 414 696.249860364
20.4410458625 43.501611045 415 784.861535622
20.4534440782 43.5015697393 416 975.139538096
20.4658422768 43.5015270939 417 1008.98458437
20.4782404575 43.501483109 418 1165.85410188
20.4906386199 43.5014377845 419 1025.82210641
20.5030367634 43.5013911204 420 742.420966086
20.5154348875 43.5013431168 421 520.156313638
20.5278329916 43.5012937735 422 708.06842976
20.5402310751 43.5012430908 423 756.056361155
20.5526291376 43.5011910684 424 902.137857568
20.5650271784 43.5011377066 425 829.036091575
20.577425197 43.5010830051 426 708.188470774
20.5898231929 43.5010269641 427 747.427583443
20.6022211655 43.5009695836 428 601.534229908
20.6146191142 43.5009108636 429 346.823828357
20.6270170386 43.500850804 430 564.149092052
20.639414938 43.5007894049 431 708.174447066
20.6518128119 43.5007266663 432 695.017145238
20.6642106598 43.5006625882 433 734.751769118
20.6766084811 43.5005971706 434 793.423192958
20.6890062752 43.5005304135 435 685.188416847
20.7014040417 43.5004623168 436 678.106585724
20.7138017799 43.5003928807 437 720.102575708
20.7261994893 43.5003221052 438 654.325362789
20.7385971694 43.5002499901 439 834.932230237
20.7509948196 43.5001765356 440 887.248080297
20.7633924394 43.5001017416 441 958.599565112
20.7757900281 43.5000256082 442 1058.00377
20.7881875854 43.4999481353 443 1241.53124411
20.8005851105 43.499869323 444 1276.38415978
20.812982603 43.4997891713 445 1088.48860515
20.8253800623 43.4997076801 446 1006.41646121
20.8377774878 43.4996248495 447 976.531722452
20.8501748791 43.4995406795 448 786.792634342
20.8625722355 43.4994551701 449 786.515655392
20.8749695566 43.4993683213 450 776.931653474
20.8873668417 43.4992801332 451 661.328273429
20.8997640903 43.4991906056 452 713.453344894
20.9121613018 43.4990997387 453 802.008730945
20.9245584758 43.4990075324 454 865.904079792
20.9369556117 43.4989139868 455 780.820544649
20.9493527088 43.4988191018 456 732.144394695
20.9617497667 43.4987228775 457 664.957281363
20.9741467848 43.4986253138 458 727.267170239
20.9865437626 43.4985264109 459 680.901879475
20.9989406995 43.4984261686 460 668.578583709
21.011337595 43.498324587 461 689.009406705
21.0237344485 43.4982216662 462 566.782971428
21.0361312594 43.498117406 463 578.503059179
